"from","to"
"Utah","Houston"
"SouthernCalifornia","Houston"
"Wyoming","Houston"
"KansasState","Houston"
"Colorado","Houston"
"Virginia","Houston"
"Duke","Rice"
"Rice","Idaho"
"Virginia","Idaho"
"OhioState","Idaho"
"BowlingGreenState","Washington"
"NorthCarolinaState","Washington"
"NorthernIllinois","Washington"
"BostonCollege","Washington"
"Washington","Kansas"
"ColoradoState","Kansas"
"SanDiegoState","Kansas"
"Utah","Kansas"
"Arizona","Kansas"
"NewMexico","SouthernMethodist"
"ColoradoState","SouthernMethodist"
"PennState","SouthernMethodist"
"SouthernMethodist","Kent"
"BallState","Kent"
"Rice","Kent"
"Idaho","Kent"
"OhioState","Kent"
"Colorado","Pittsburgh"
"Michigan","Pittsburgh"
"Purdue","Pittsburgh"
"Wisconsin","Pittsburgh"
"Syracuse","Pittsburgh"
"VirginiaTech","Pittsburgh"
"Pittsburgh","Kentucky"
"Michigan","Kentucky"
"SouthernCalifornia","Kentucky"
"CentralFlorida","Kentucky"
"WestVirginia","Kentucky"
"Alabama","Kentucky"
"BowlingGreenState","Kentucky"
"BoiseState","Louisville"
"Louisville","LouisianaTech"
"Iowa","LouisianaTech"
"EasternMichigan","LouisianaTech"
"Duke","LouisianaTech"
"Rice","LouisianaTech"
"NewMexico","LouisianaMonroe"
"SouthernCalifornia","LouisianaMonroe"
"Akron","LouisianaMonroe"
"GeorgiaTech","LouisianaMonroe"
"GeorgiaTech","Minnesota"
"LouisianaMonroe","Minnesota"
"Minnesota","MiamiOhio"
"NorthTexas","MiamiOhio"
"Colorado","MiamiOhio"
"SouthernCalifornia","MiamiOhio"
"Houston","MiamiOhio"
"WesternMichigan","MiamiOhio"
"Wyoming","MiamiOhio"
"KansasState","MiamiOhio"
"EastCarolina","Vanderbilt"
"Houston","Vanderbilt"
"Pittsburgh","Vanderbilt"
"VirginiaTech","Vanderbilt"
"Florida","Vanderbilt"
"Michigan","Vanderbilt"
"Syracuse","Vanderbilt"
"Vanderbilt","MiddleTennesseeState"
"UCLA","MiddleTennesseeState"
"FresnoState","MiddleTennesseeState"
"Akron","MiddleTennesseeState"
"BoiseState","MiddleTennesseeState"
"Louisville","MiddleTennesseeState"
"BoiseState","Illinois"
"LouisianaMonroe","Illinois"
"Minnesota","Illinois"
"EasternMichigan","Illinois"
"Illinois","MississippiState"
"Baylor","MississippiState"
"Virginia","MississippiState"
"MiamiOhio","MississippiState"
"KansasState","MississippiState"
"SouthernCalifornia","MississippiState"
"Houston","MississippiState"
"WesternMichigan","MississippiState"
"FloridaState","Memphis"
"BoiseState","Memphis"
"Akron","Memphis"
"Illinois","Memphis"
"Louisville","Memphis"
"UCLA","Memphis"
"Memphis","Nevada"
"Minnesota","Nevada"
"NorthCarolinaState","Nevada"
"Duke","Nevada"
"Rice","Nevada"
"Auburn","Oregon"
"Connecticut","Oregon"
"OhioState","Oregon"
"Kent","Oregon"
"Idaho","Oregon"
"Oregon","NewMexicoState"
"Wyoming","NewMexicoState"
"Washington","NewMexicoState"
"Arizona","NewMexicoState"
"Kansas","NewMexicoState"
"ArizonaState","NewMexicoState"
"Utah","NewMexicoState"
"SanDiegoState","NewMexicoState"
"TexasTech","SouthCarolina"
"NorthCarolinaState","SouthCarolina"
"BostonCollege","SouthCarolina"
"Washington","SouthCarolina"
"NorthernIllinois","SouthCarolina"
"SouthCarolina","Ohio"
"EastCarolina","Ohio"
"Memphis","Ohio"
"UCLA","Ohio"
"Louisville","Ohio"
"MiddleTennesseeState","Ohio"
"BoiseState","Ohio"
"MiamiOhio","IowaState"
"VirginiaTech","IowaState"
"Wisconsin","IowaState"
"Syracuse","IowaState"
"Pittsburgh","IowaState"
"Purdue","IowaState"
"Vanderbilt","IowaState"
"Michigan","IowaState"
"IowaState","SanJoseState"
"KansasState","SanJoseState"
"NorthTexas","SanJoseState"
"NewMexico","SanJoseState"
"ColoradoState","SanJoseState"
"SouthernMethodist","SanJoseState"
"ArizonaState","Nebraska"
"Idaho","Nebraska"
"Kent","Nebraska"
"Oregon","Nebraska"
"OhioState","Nebraska"
"Nebraska","SouthernMississippi"
"KansasState","SouthernMississippi"
"SanJoseState","SouthernMississippi"
"PennState","SouthernMississippi"
"NorthTexas","SouthernMississippi"
"SouthernMethodist","SouthernMississippi"
"NewMexico","SouthernMississippi"
"ColoradoState","SouthernMississippi"
"UCLA","Tennessee"
"Nevada","Tennessee"
"Rice","Tennessee"
"LouisianaTech","Tennessee"
"Duke","Tennessee"
"Tennessee","Stanford"
"BoiseState","Stanford"
"Minnesota","Stanford"
"UCLA","Stanford"
"Ohio","Stanford"
"Nevada","Stanford"
"Louisville","Stanford"
"MiddleTennesseeState","Stanford"
"Nebraska","WashingtonState"
"Utah","WashingtonState"
"ArizonaState","WashingtonState"
"Kansas","WashingtonState"
"Arizona","WashingtonState"
"SanDiegoState","WashingtonState"
"WashingtonState","Temple"
"ArkansasState","Temple"
"Washington","Temple"
"BostonCollege","Temple"
"Utah","Temple"
"SanDiegoState","Temple"
"NewMexicoState","Temple"
"ArizonaState","Temple"
"Kansas","Temple"
"Michigan","Navy"
"EastCarolina","Navy"
"BowlingGreenState","Navy"
"Alabama","Navy"
"WestVirginia","Navy"
"CentralFlorida","Navy"
"Kentucky","Navy"
"Navy","TexasA&M"
"CentralMichigan","TexasA&M"
"WestVirginia","TexasA&M"
"Auburn","NotreDame"
"PennState","NotreDame"
"ColoradoState","NotreDame"
"NorthTexas","NotreDame"
"SanJoseState","NotreDame"
"NewMexico","NotreDame"
"NotreDame","TexasElPaso"
"SouthernMississippi","TexasElPaso"
"Colorado","TexasElPaso"
"WashingtonState","TexasElPaso"
"TexasA&M","TexasElPaso"
"BowlingGreenState","TexasElPaso"
"WestVirginia","TexasElPaso"
"ArizonaState","TexasElPaso"
"Kent","Oklahoma"
"NotreDame","Oklahoma"
"SouthCarolina","Oklahoma"
"Nebraska","Oklahoma"
"OhioState","Oklahoma"
"Oregon","Oklahoma"
"Idaho","Oklahoma"
"Oklahoma","Toledo"
"NorthCarolinaState","Toledo"
"Idaho","Toledo"
"SouthernMethodist","Toledo"
"NewMexico","Toledo"
"SouthernMississippi","Toledo"
"NorthTexas","Toledo"
"NotreDame","Toledo"
"PennState","Toledo"
"SouthernCalifornia","Tulane"
"Wisconsin","Tulane"
"Purdue","Tulane"
"EastCarolina","Tulane"
"TexasA&M","Tulane"
"Northwestern","Tulane"
"Florida","Tulane"
"Michigan","Tulane"
"Duke","Mississippi"
"Kent","Mississippi"
"Tennessee","Mississippi"
"LouisianaTech","Mississippi"
"Rice","Mississippi"
"TexasA&M","Mississippi"
"Nevada","Mississippi"
"Mississippi","Tulsa"
"Akron","Tulsa"
"MiddleTennesseeState","Tulsa"
"Louisville","Tulsa"
"NorthCarolinaState","Tulsa"
"UCLA","Tulsa"
"Memphis","Tulsa"
"Idaho","NorthCarolina"
"LouisianaMonroe","NorthCarolina"
"Oklahoma","NorthCarolina"
"SouthCarolina","NorthCarolina"
"OhioState","NorthCarolina"
"Kent","NorthCarolina"
"Nebraska","NorthCarolina"
"Oregon","NorthCarolina"
"NorthCarolina","UtahState"
"Iowa","UtahState"
"CentralMichigan","UtahState"
"BallState","UtahState"
"Buffalo","UtahState"
"Kentucky","UtahState"
"FresnoState","UtahState"
"PennState","Army"
"SanDiegoState","Army"
"ArkansasState","Army"
"FloridaState","Army"
"NorthernIllinois","Army"
"Washington","Army"
"NorthCarolinaState","Army"
"SouthCarolina","Army"
"BostonCollege","Army"
"WestVirginia","Cincinnati"
"Rice","Cincinnati"
"Nevada","Cincinnati"
"SouthCarolina","Cincinnati"
"Duke","Cincinnati"
"Mississippi","Cincinnati"
"LouisianaTech","Cincinnati"
"TexasA&M","Cincinnati"
"Cincinnati","AirForce"
"CentralFlorida","AirForce"
"Wyoming","AirForce"
"Mississippi","AirForce"
"Rice","AirForce"
"LouisianaTech","AirForce"
"Vanderbilt","AirForce"
"Nevada","AirForce"
"Tennessee","AirForce"
"FloridaState","Rutgers"
"ArkansasState","Rutgers"
"TexasA&M","Rutgers"
"Auburn","Rutgers"
"TexasTech","Rutgers"
"TexasElPaso","Rutgers"
"Cincinnati","Rutgers"
"Connecticut","Rutgers"
"Baylor","Rutgers"
"Syracuse","Georgia"
"Alabama","Georgia"
"Kentucky","Georgia"
"Navy","Georgia"
"TexasA&M","Georgia"
"WestVirginia","Georgia"
"BowlingGreenState","Georgia"
"TexasElPaso","Georgia"
"CentralFlorida","Georgia"
"Ohio","LouisianaState"
"SouthCarolina","LouisianaState"
"Stanford","LouisianaState"
"MiddleTennesseeState","LouisianaState"
"Louisville","LouisianaState"
"BoiseState","LouisianaState"
"Akron","LouisianaState"
"Tulsa","LouisianaState"
"CentralMichigan","LouisianaState"
"Rice","LouisianaLafayette"
"Akron","LouisianaLafayette"
"Stanford","LouisianaLafayette"
"BoiseState","LouisianaLafayette"
"Louisville","LouisianaLafayette"
"Memphis","LouisianaLafayette"
"UCLA","LouisianaLafayette"
"Tulsa","LouisianaLafayette"
"PennState","Texas"
"Mississippi","Texas"
"LouisianaMonroe","Texas"
"NorthernIllinois","Texas"
"Minnesota","Texas"
"Illinois","Texas"
"Texas","Marshall"
"WashingtonState","Marshall"
"Rice","Marshall"
"Toledo","Marshall"
"ColoradoState","Marshall"
"NorthTexas","Marshall"
"PennState","Marshall"
"SouthernMethodist","Marshall"
"NotreDame","Marshall"
"UtahState","MichiganState"
"Syracuse","MichiganState"
"Wisconsin","MichiganState"
"Tulane","MichiganState"
"Pittsburgh","MichiganState"
"VirginiaTech","MichiganState"
"Michigan","MichiganState"
"Vanderbilt","MichiganState"
"IowaState","MichiganState"
"MichiganState","MiamiFlorida"
"TexasElPaso","MiamiFlorida"
"WesternMichigan","MiamiFlorida"
"KansasState","MiamiFlorida"
"Wyoming","MiamiFlorida"
"Virginia","MiamiFlorida"
"MississippiState","MiamiFlorida"
"Houston","MiamiFlorida"
"Colorado","MiamiFlorida"
"SouthernCalifornia","MiamiFlorida"
"Kansas","Missouri"
"BowlingGreenState","Missouri"
"Georgia","Missouri"
"Iowa","Missouri"
"Navy","Missouri"
"LouisianaMonroe","Missouri"
"Alabama","Missouri"
"Kentucky","Missouri"
"CentralFlorida","Missouri"
"WestVirginia","Missouri"
"MiamiFlorida","Clemson"
"SouthernMississippi","Clemson"
"SouthernMethodist","Clemson"
"Marshall","Clemson"
"SanJoseState","Clemson"
"ColoradoState","Clemson"
"NorthTexas","Clemson"
"NewMexico","Clemson"
"Clemson","NevadaLasVegas"
"Buffalo","NevadaLasVegas"
"FresnoState","NevadaLasVegas"
"BallState","NevadaLasVegas"
"UtahState","NevadaLasVegas"
"CentralMichigan","NevadaLasVegas"
"Iowa","NevadaLasVegas"
"Ohio","NevadaLasVegas"
"SanJoseState","WakeForest"
"NorthernIllinois","WakeForest"
"FloridaState","WakeForest"
"Rutgers","WakeForest"
"Oregon","WakeForest"
"Connecticut","WakeForest"
"Auburn","WakeForest"
"Tulsa","WakeForest"
"ArkansasState","WakeForest"
"TexasTech","WakeForest"
"Baylor","WakeForest"
"UtahState","Indiana"
"NevadaLasVegas","Indiana"
"Buffalo","Indiana"
"MiddleTennesseeState","Indiana"
"CentralMichigan","Indiana"
"FresnoState","Indiana"
"Iowa","Indiana"
"TexasA&M","Indiana"
"BallState","Indiana"
"BallState","OklahomaState"
"Louisville","OklahomaState"
"AirForce","OklahomaState"
"KansasState","OklahomaState"
"WesternMichigan","OklahomaState"
"Virginia","OklahomaState"
"MiamiOhio","OklahomaState"
"SouthernCalifornia","OklahomaState"
"MississippiState","OklahomaState"
"Wyoming","OklahomaState"
"Colorado","OklahomaState"
"NorthCarolina","OregonState"
"Tennessee","OregonState"
"Marshall","OregonState"
"Clemson","OregonState"
"SanJoseState","OregonState"
"ColoradoState","OregonState"
"NotreDame","OregonState"
"PennState","OregonState"
"NorthTexas","OregonState"
"Toledo","OregonState"
"TexasTech","Maryland"
"Baylor","Maryland"
"ArizonaState","Maryland"
"Kansas","Maryland"
"WashingtonState","Maryland"
"Arizona","Maryland"
"Temple","Maryland"
"Utah","Maryland"
"NewMexicoState","Maryland"
"Navy","TexasChristian"
"BowlingGreenState","TexasChristian"
"Illinois","TexasChristian"
"Iowa","TexasChristian"
"Buffalo","TexasChristian"
"NevadaLasVegas","TexasChristian"
"Indiana","TexasChristian"
"FresnoState","TexasChristian"
"BallState","TexasChristian"
"UtahState","TexasChristian"
"CentralMichigan","TexasChristian"
"Oregon","California"
"WesternMichigan","California"
"NorthCarolinaState","California"
"TexasA&M","California"
"NorthCarolina","California"
"Idaho","California"
"Nebraska","California"
"OhioState","California"
"Oklahoma","California"
"Kent","California"
"ArkansasState","AlabamaBirmingham"
"MississippiState","AlabamaBirmingham"
"OhioState","AlabamaBirmingham"
"Temple","AlabamaBirmingham"
"SanDiegoState","AlabamaBirmingham"
"Arizona","AlabamaBirmingham"
"Kansas","AlabamaBirmingham"
"ArizonaState","AlabamaBirmingham"
"Maryland","AlabamaBirmingham"
"NewMexicoState","AlabamaBirmingham"
"WashingtonState","AlabamaBirmingham"
"SouthernMethodist","Arkansas"
"LouisianaLafayette","Arkansas"
"Texas","Arkansas"
"LouisianaTech","Arkansas"
"Nevada","Arkansas"
"Illinois","Arkansas"
"Duke","Arkansas"
"AirForce","Arkansas"
"Tennessee","Arkansas"
"Cincinnati","Arkansas"
"BostonCollege","Hawaii"
"UCLA","Hawaii"
"LouisianaState","Hawaii"
"Minnesota","Hawaii"
"Ohio","Hawaii"
"Akron","Hawaii"
"Tulsa","Hawaii"
"Stanford","Hawaii"
"Memphis","Hawaii"
"LouisianaLafayette","Hawaii"
